Rowid	Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
45516	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/CXCR3+:Count																		
45517	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/DR+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/DR+:Count																		
45518	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/EM:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/EM:Count																		
45519	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg+:Count																		
45520	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2:Count																		
45523	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2_OR_154:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2_OR_154:Count																		
45521	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2_OR_TNF:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2_OR_TNF:Count																		
45522	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2_OR_TNF_OR_154:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IFNg_OR_IL2_OR_TNF_OR_154:Count																		
45526	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IL17a_OR_IL17F+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IL17a_OR_IL17F+:Count																		
45524	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IL2+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IL2+:Count																		
45525	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IL4_OR_IL13+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/IL4_OR_IL13+:Count																		
45527	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/Ki67+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/Ki67+:Count																		
45528	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/N:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/N:Count																		
45529	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/NKG2C+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/NKG2C+:Count																		
45530	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/Perf+:Count																		
45532	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/R7+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/R7+:Count																		
45531	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/RA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/RA+:Count																		
45533	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/TEMRA:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/TEMRA:Count																		
45534	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/TNF+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1-Va24-/NKT/TNF+:Count																		
45717	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/103+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/103+:Count																		
45718	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/153+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/153+:Count																		
45719	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/154+:Count																		
45714	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/4-8-:Count																		
45713	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/4+:Count																		
45716	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/69+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/69+:Count																		
45715	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/8+:Count																		
45720	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6+:Count																		
45721	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6+CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6+CXCR3+:Count																		
45722	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6+CXCR3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6+CXCR3-:Count																		
45723	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6-CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6-CXCR3+:Count																		
45724	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6-CXCR3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CCR6-CXCR3-:Count																		
45725	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CM:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CM:Count																		
45712	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+:Count																		
45726	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/CXCR3+:Count																		
