Rowid	Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
19314	AP-077	77		Time:Count	Time:Count																		
19315	AP-077	77		Time/K1:Count	Time/K1:Count																		
19316	AP-077	77		Time/K1/K2:Count	Time/K1/K2:Count																		
19317	AP-077	77		Time/K1/K2/K3:Count	Time/K1/K2/K3:Count																		
19318	AP-077	77		Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count																		
19319	AP-077	77		Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count																		
19320	AP-077	77		Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count																		
19321	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count																		
19322	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/S:Count																		
19327	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27+CD21+:Count																		
19328	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27+CD21-:Count																		
19329	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27-CD21+:Count																		
19330	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+/CD27-CD21-:Count																		
19326	AP-077	77		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BV711+BUV661+:Count																		
