AnalysisPlanSort	AnalysisPlanId	Description	NAME1	STAT1
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/Perf+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/TNFa+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/TNFa+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/16+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/16+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/25+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/25+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB-Perf-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB-Perf-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB-Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB-Perf+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB+Perf-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB+Perf-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB+Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/GzB+Perf+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IFNg_OR_IL2:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IFNg_OR_IL2:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IFNg+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IFNg+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL17a+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL17a+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL2+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL2+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL21+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL4+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL5_OR_IL13+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/IL5_OR_IL13+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/Ki67+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/Ki67+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/Perf+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/TNFa+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos non-classical/TNFa+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/16-56dim:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/16-56dim:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/56-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/56-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/56br:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/56br:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/56dim:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/56dim:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/154+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/25+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/25+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/4-8-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/4+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/45RA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/45RA+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/8+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6-CXCR3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6-CXCR3-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6-CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6-CXCR3+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6+CXCR3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6+CXCR3-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6+CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR6+CXCR3+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR7+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/19-/3-/Total NK/CCR7+:Count
