Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-062	62		Time:Count	Time:Count
AP-062	62		Time/K1:Count	Time/K1:Count
AP-062	62		Time/K1/K2:Count	Time/K1/K2:Count
AP-062	62		Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-062	62		Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-062	62		Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi/Monos classical:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi/Monos classical:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi/Monos nonclassical:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi/Monos nonclassical:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi/TNF+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14+_OR_SShi/TNF+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3-/16+56-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3-/16+56-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3-/16-56dim:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3-/16-56dim:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/4-8-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/4+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/8+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin+Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin+Perf+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin+Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin+Perf+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin-Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Granulysin-Perf+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/IFNg+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/IFNg+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/IFNg_OR_IL2:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/IFNg_OR_IL2:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/IL2+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/IL2+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Perforin+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/Perforin+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/TNF+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/16+_OR_56+/TNF+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd+/153+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd+/153+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd+/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd+/154+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4+/153+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4+/153+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4+/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4+/154+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4+/4+RA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4+/4+RA+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/153+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/153+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/154+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6+CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6+CXCR3+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6+CXCR3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6+CXCR3-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6-CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CCR6-CXCR3+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CM:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CM:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CXCR3+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CXCR5+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/CXCR5+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/DR+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/DR+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/EM:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/EM:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/GM-CSF+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/GM-CSF+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin+Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin+Perf+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin+Perf-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin+Perf-:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin-Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin-Perf+:Count
AP-062	62		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin-Perf-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/3+/56-16-/gd-/4-8-/Granulysin-Perf-:Count
