analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-049	49		Time:Count	Time:Count
AP-049	49		Time/S:Count	Time/S:Count
AP-049	49		Time/S/K1:Count	Time/S/K1:Count
AP-049	49		Time/S/K1/K2:Count	Time/S/K1/K2:Count
AP-049	49		Time/S/K1/K2/K3:Count	Time/S/K1/K2/K3:Count
AP-049	49		Time/S/K1/K2/K3/K4:Count	Time/S/K1/K2/K3/K4:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi:Count	Time/S/K1/K2/K3/K4/14+SShi:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/14+16+:Count	Time/S/K1/K2/K3/K4/14+SShi/14+16+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/14+16-:Count	Time/S/K1/K2/K3/K4/14+SShi/14+16-:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/14-16+:Count	Time/S/K1/K2/K3/K4/14+SShi/14-16+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/153+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/153+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/154+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/154+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/CCR6+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/CCR6+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/CM:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/CM:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/CXCR3+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/CXCR3+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/DR+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/DR+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/EM:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/EM:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/GM-CSF:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/GM-CSF:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Granulysin+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Granulysin+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IFNg+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IFNg+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IFNg_OR_IL2:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IFNg_OR_IL2:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IL2+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IL2+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IL4_OR_IL13:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IL4_OR_IL13:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IL17A_OR_IL17F:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/IL17A_OR_IL17F:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Ki67+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Ki67+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Naive:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Naive:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/NKG2C+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/NKG2C+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Perf+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/Perf+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/RA+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/RA+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/R7+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/R7+:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/TD:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/TD:Count
AP-049	49		Time/S/K1/K2/K3/K4/14+SShi/Total Monos/TNFa+:Count	Time/S/K1/K2/K3/K4/14+SShi/Total Monos/TNFa+:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv:Count	Time/S/K1/K2/K3/K4/Lv:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/DR+:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/DR+:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/DR+/Ki67+:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/DR+/Ki67+:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi/3+:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi/3+:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi/3+/3+excl16br:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi/3+/3+excl16br:Count
AP-049	49		Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi/3+/3+excl16br/gd+:Count	Time/S/K1/K2/K3/K4/Lv/14-SSlo/S2/L/NotDRhi/3+/3+excl16br/gd+:Count
