analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/69+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/69+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/CCR5+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/CCR5+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/CTLA4+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/CTLA4+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/DR+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/DR+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/GzB+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/GzB+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IFNg+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IFNg+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IFNg_OR_IL2:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IFNg_OR_IL2:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IL17A_OR_IL17F:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IL17A_OR_IL17F:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IL2+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IL2+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IL4_OR_IL13:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/IL4_OR_IL13:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/LAG3_OR_TIM3:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/LAG3_OR_TIM3:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/PD1+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/PD1+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/Perf+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/Perf+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/TNFa+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/TNFa+:Count
