Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-058	58		Time:Count	Time:Count
AP-058	58		Time/K1:Count	Time/K1:Count
AP-058	58		Time/K1/K2:Count	Time/K1/K2:Count
AP-058	58		Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-058	58		Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-058	58		Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20+/25+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20+/25+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+NKG2A+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+NKG2A+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+NKG2A-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+NKG2A-:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16-NKG2A+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16-NKG2A+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16-NKG2A-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16-NKG2A-:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/154+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/25+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/25+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/4+8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/4+8+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/4-8-:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/4+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/69+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/69+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/8+:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/CM:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+/CM:Count
AP-058	58		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/L/S/20-/3-/16+_OR_NKG2A+:Count
