AnalysisPlanSort	AnalysisPlanId	NAME1	STAT1
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/154+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/154+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/CCR5+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/CCR5+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/DR+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/DR+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IFNg+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IFNg+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IFNg_OR_IL2:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IFNg_OR_IL2:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IL2+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IL2+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IL4_OR_IL13:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IL4_OR_IL13:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IL4_OR_IL13_AND_154:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/IL4_OR_IL13_AND_154:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/Ki67+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/Ki67+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/MIP1B+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/MIP1B+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/TNFa+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non-classical/TNFa+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Total Monos:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Total Monos:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/25+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/25+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38+DR+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38+DR+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38+DR-:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38+DR-:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38-DR+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/38-DR+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/154+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/154+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/CTLA4+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19+/CTLA4+:Count
