Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-065	65		Time:Count	Time:Count
AP-065	65		Time/K1:Count	Time/K1:Count
AP-065	65		Time/K1/K2:Count	Time/K1/K2:Count
AP-065	65		Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-065	65		Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-065	65		Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/S:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3AF647+ MD39_3baseKO+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3AF647+ MD39_3baseKO+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3PE+ MD39_3AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3PE+ MD39_3AF647+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3PE+ MD39_3AF647+/MD39_3baseKOAF488+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3PE+ MD39_3AF647+/MD39_3baseKOAF488+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3PE+ MD39_3AF647+/MD39_3baseKOAF488-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/MD39_3PE+ MD39_3AF647+/MD39_3baseKOAF488-:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/CD27+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/CD27+:Count
AP-065	65		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+:Count
